Employee ID,Gender,Age,ServiceYear,Education,MarrigeStatus,Nationality,Department,EmploymentStatus
10472174,F,43.22,0.32,Master,Unmarried,Malaysia,20069371,0
10478023,F,25.54,0.05,Bachelor,Unmarried,Malaysia,20069371,1
10478016,F,28.98,0.15,Master,Unmarried,Malaysia,20069371,0
10476404,F,27.14,0.09,Bachelor,Unmarried,Malaysia,20069371,0
10472230,F,31.35,0.32,Bachelor,Married,Malaysia,20069371,0
10422174,F,33.56,2.24,Bachelor,Married,China,20069371,0
10434459,F,28.11,0.03,Master,Married,China,20069371,0
00384692,F,29.39,2.12,Bachelor,Unmarried,China,20069371,1
00299154,F,31.88,6.46,Bachelor,Married,China,20069371,0
10454314,F,25.93,1.00,Master,Married,China,20069371,0
10462702,M,33.12,0.75,Bachelor,Married,Malaysia,20069371,1
10449095,F,34.53,1.21,Bachelor,Married,China,20069371,0
10407750,F,28.12,1.58,Bachelor,Married,China,20069371,0
10424404,F,44.20,0.80,Bachelor,Married,Australia,20069371,0
10462546,F,27.62,0.76,Bachelor,Married,Australia,20069371,0
10463422,F,28.17,0.74,Bachelor,Married,Australia,20069371,0
00053732,F,41.51,11.13,Bachelor,Unmarried,Australia,20069371,0
00276672,F,40.41,7.24,Bachelor,Unmarried,Australia,20069371,0
00362521,F,40.28,4.01,Bachelor,Married,Australia,20069371,0
10401984,M,29.83,4.38,Bachelor,Unmarried,Australia,20069371,0
10437824,M,54.77,1.59,Bachelor,Unmarried,Australia,20069371,0
10448236,F,37.93,1.22,Bachelor,Unmarried,Australia,20069371,0
10474232,M,40.49,0.22,Master,Married,Malaysia,20069371,0
00268102,M,37.90,7.61,Bachelor,Married,Australia,20069371,0
10445002,F,28.34,1.32,Bachelor,Married,Malaysia,20069371,0
10467375,F,39.74,0.55,Bachelor,Married,Malaysia,20069371,0
10456902,F,27.27,0.83,Master,Unmarried,Japan,20069371,0
10454171,F,28.27,1.03,Bachelor,Married,China,20069371,0
10480145,F,37.49,0.07,Bachelor,Married,Australia,20069371,0
10476403,F,23.93,0.15,Bachelor,Married,Malaysia,20069371,0
00391222,M,33.58,3.62,Master,Married,China,20069371,0
00357524,M,32.35,4.43,Bachelor,Married,China,20069371,0
00055083,M,42.85,15.53,Bachelor,Married,Singapore,20069371,0
10408503,F,28.92,2.97,Bachelor,Married,Singapore,20069371,0
00364975,F,28.49,1.67,Bachelor,Married,China,20069371,1
10401201,F,32.56,1.58,Bachelor,Married,China,20069371,0
10428700,F,25.20,0.11,Bachelor,Married,China,20069371,1
00287598,F,35.14,6.92,Bachelor,Unmarried,China,20069371,1
10481210,F,26.14,0.03,Bachelor,Unmarried,Malaysia,20069371,0
10481213,F,25.17,0.04,Bachelor,Unmarried,Malaysia,20069371,0
